#           k/h    P           
 0.28219123E-02 0.13290551E+05
 0.28789188E-02 0.13507019E+05
 0.29370766E-02 0.13726023E+05
 0.29964095E-02 0.13947557E+05
 0.30569409E-02 0.14171604E+05
 0.31186952E-02 0.14398148E+05
 0.31816978E-02 0.14627175E+05
 0.32459723E-02 0.14858660E+05
 0.33115451E-02 0.15092584E+05
 0.33784427E-02 0.15328923E+05
 0.34466919E-02 0.15567646E+05
 0.35163197E-02 0.15808726E+05
 0.35873537E-02 0.16052126E+05
 0.36598232E-02 0.16297812E+05
 0.37337563E-02 0.16545748E+05
 0.38091831E-02 0.16795889E+05
 0.38861334E-02 0.17048188E+05
 0.39646388E-02 0.17302598E+05
 0.40447293E-02 0.17559068E+05
 0.41264393E-02 0.17817543E+05
 0.42097992E-02 0.18077963E+05
 0.42948425E-02 0.18340266E+05
 0.43816040E-02 0.18604387E+05
 0.44701183E-02 0.18870252E+05
 0.45604203E-02 0.19137795E+05
 0.46525472E-02 0.19406932E+05
 0.47465344E-02 0.19677582E+05
 0.48424210E-02 0.19949660E+05
 0.49402444E-02 0.20223076E+05
 0.50400435E-02 0.20497736E+05
 0.51418589E-02 0.20773539E+05
 0.52457312E-02 0.21050383E+05
 0.53517036E-02 0.21328154E+05
 0.54598148E-02 0.21606746E+05
 0.55701104E-02 0.21886037E+05
 0.56826337E-02 0.22165902E+05
 0.57974309E-02 0.22446213E+05
 0.59145465E-02 0.22726832E+05
 0.60340283E-02 0.23007623E+05
 0.61559235E-02 0.23288439E+05
 0.62802811E-02 0.23569131E+05
 0.64071510E-02 0.23849537E+05
 0.65365843E-02 0.24129496E+05
 0.66686315E-02 0.24408844E+05
 0.68033468E-02 0.24687404E+05
 0.69407835E-02 0.24964996E+05
 0.70809964E-02 0.25241430E+05
 0.72240415E-02 0.25516510E+05
 0.73699774E-02 0.25790041E+05
 0.75188605E-02 0.26061820E+05
 0.76707508E-02 0.26331631E+05
 0.78257136E-02 0.26599252E+05
 0.79838037E-02 0.26864463E+05
 0.81450874E-02 0.27127033E+05
 0.83096288E-02 0.27386729E+05
 0.84774951E-02 0.27643297E+05
 0.86487513E-02 0.27896484E+05
 0.88234674E-02 0.28146027E+05
 0.90017123E-02 0.28391660E+05
 0.91835596E-02 0.28633115E+05
 0.93690790E-02 0.28870115E+05
 0.95583471E-02 0.29102379E+05
 0.97514391E-02 0.29329621E+05
 0.99484306E-02 0.29551561E+05
 0.10149402E-01 0.29767898E+05
 0.10354433E-01 0.29978299E+05
 0.10563606E-01 0.30182406E+05
 0.10777006E-01 0.30379871E+05
 0.10994715E-01 0.30570338E+05
 0.11216822E-01 0.30753469E+05
 0.11443418E-01 0.30929016E+05
 0.11674589E-01 0.31096756E+05
 0.11910431E-01 0.31256477E+05
 0.12151038E-01 0.31407963E+05
 0.12396505E-01 0.31550920E+05
 0.12646930E-01 0.31684633E+05
 0.12902415E-01 0.31808275E+05
 0.13163067E-01 0.31921010E+05
 0.13428980E-01 0.32022006E+05
 0.13700262E-01 0.32110752E+05
 0.13977026E-01 0.32188240E+05
 0.14259379E-01 0.32255924E+05
 0.14547437E-01 0.32315273E+05
 0.14841316E-01 0.32367781E+05
 0.15141129E-01 0.32414312E+05
 0.15447001E-01 0.32452711E+05
 0.15759049E-01 0.32479928E+05
 0.16077405E-01 0.32492916E+05
 0.16402189E-01 0.32488637E+05
 0.16733535E-01 0.32464727E+05
 0.17071573E-01 0.32421965E+05
 0.17416442E-01 0.32362066E+05
 0.17768279E-01 0.32286773E+05
 0.18127220E-01 0.32197828E+05
 0.18493414E-01 0.32096480E+05
 0.18867005E-01 0.31981609E+05
 0.19248145E-01 0.31851410E+05
 0.19636983E-01 0.31704135E+05
 0.20033674E-01 0.31538098E+05
 0.20438381E-01 0.31352152E+05
 0.20851264E-01 0.31147518E+05
 0.21272486E-01 0.30926104E+05
 0.21702228E-01 0.30689811E+05
 0.22140643E-01 0.30440514E+05
 0.22587912E-01 0.30179844E+05
 0.23044219E-01 0.29908387E+05
 0.23509743E-01 0.29626416E+05
 0.23984671E-01 0.29334215E+05
 0.24469191E-01 0.29032088E+05
 0.24963502E-01 0.28720141E+05
 0.25467798E-01 0.28397521E+05
 0.25982281E-01 0.28063139E+05
 0.26507158E-01 0.27715986E+05
 0.27042639E-01 0.27355150E+05
 0.27588934E-01 0.26980277E+05
 0.28146267E-01 0.26593389E+05
 0.28714858E-01 0.26197150E+05
 0.29294936E-01 0.25794123E+05
 0.29886734E-01 0.25386744E+05
 0.30490484E-01 0.24977094E+05
 0.31106433E-01 0.24565965E+05
 0.31734824E-01 0.24153756E+05
 0.32375909E-01 0.23740854E+05
 0.33029947E-01 0.23327633E+05
 0.33697195E-01 0.22914598E+05
 0.34377921E-01 0.22502969E+05
 0.35072401E-01 0.22094115E+05
 0.35780910E-01 0.21689314E+05
 0.36503751E-01 0.21289760E+05
 0.37241172E-01 0.20896545E+05
 0.37993494E-01 0.20510652E+05
 0.38761012E-01 0.20132977E+05
 0.39544035E-01 0.19764336E+05
 0.40342879E-01 0.19405486E+05
 0.41157857E-01 0.19057086E+05
 0.41989300E-01 0.18719611E+05
 0.42837542E-01 0.18393449E+05
 0.43702915E-01 0.18078949E+05
 0.44585772E-01 0.17776430E+05
 0.45486465E-01 0.17486012E+05
 0.46405349E-01 0.17207385E+05
 0.47342800E-01 0.16940180E+05
 0.48299186E-01 0.16684049E+05
 0.49274892E-01 0.16438578E+05
 0.50270312E-01 0.16202780E+05
 0.51285837E-01 0.15975454E+05
 0.52321881E-01 0.15755461E+05
 0.53378850E-01 0.15541664E+05
 0.54457176E-01 0.15332580E+05
 0.55557281E-01 0.15126616E+05
 0.56679614E-01 0.14922262E+05
 0.57824615E-01 0.14717776E+05
 0.58992747E-01 0.14510570E+05
 0.60184479E-01 0.14298031E+05
 0.61400317E-01 0.14077859E+05
 0.62640682E-01 0.13849821E+05
 0.63906111E-01 0.13615035E+05
 0.65197095E-01 0.13374531E+05
 0.66514164E-01 0.13126456E+05
 0.67857832E-01 0.12865604E+05
 0.69228657E-01 0.12587112E+05
 0.70627168E-01 0.12289912E+05
 0.72053924E-01 0.11977563E+05
 0.73509507E-01 0.11653729E+05
 0.74994497E-01 0.11320804E+05
 0.76509491E-01 0.10980109E+05
 0.78055084E-01 0.10633139E+05
 0.79631895E-01 0.10282814E+05
 0.81240565E-01 0.99324199E+04
 0.82881734E-01 0.95852070E+04
 0.84556051E-01 0.92446152E+04
 0.86264193E-01 0.89137676E+04
 0.88006847E-01 0.85958213E+04
 0.89784704E-01 0.82936553E+04
 0.91598473E-01 0.80096436E+04
 0.93448877E-01 0.77455054E+04
 0.95336676E-01 0.75025962E+04
 0.97262599E-01 0.72815815E+04
 0.99227436E-01 0.70819736E+04
 0.10123201E+00 0.69031128E+04
 0.10327702E+00 0.67431597E+04
 0.10536335E+00 0.65995361E+04
 0.10749183E+00 0.64693760E+04
 0.10966332E+00 0.63487339E+04
 0.11187866E+00 0.62336675E+04
 0.11413875E+00 0.61198643E+04
 0.11644451E+00 0.60030415E+04
 0.11879683E+00 0.58794014E+04
 0.12119669E+00 0.57456431E+04
 0.12364503E+00 0.55994912E+04
 0.12614281E+00 0.54398340E+04
 0.12869108E+00 0.52668169E+04
 0.13129081E+00 0.50820693E+04
 0.13394305E+00 0.48883516E+04
 0.13664888E+00 0.46895957E+04
 0.13940936E+00 0.44903262E+04
 0.14222562E+00 0.42954092E+04
 0.14509876E+00 0.41094673E+04
 0.14802995E+00 0.39365637E+04
 0.15102035E+00 0.37796614E+04
 0.15407117E+00 0.36405510E+04
 0.15718360E+00 0.35194839E+04
 0.16035892E+00 0.34152351E+04
 0.16359837E+00 0.33252839E+04
 0.16690327E+00 0.32458035E+04
 0.17027503E+00 0.31723254E+04
 0.17371480E+00 0.31000298E+04
 0.17722408E+00 0.30244568E+04
 0.18080424E+00 0.29420854E+04
 0.18445672E+00 0.28508008E+04
 0.18818299E+00 0.27503843E+04
 0.19198453E+00 0.26424192E+04
 0.19586287E+00 0.25299963E+04
 0.19981956E+00 0.24172280E+04
 0.20385619E+00 0.23084814E+04
 0.20797436E+00 0.22075701E+04
 0.21217570E+00 0.21171289E+04
 0.21646193E+00 0.20382062E+04
 0.22083476E+00 0.19701223E+04
 0.22529592E+00 0.19106340E+04
 0.22984719E+00 0.18564060E+04
 0.23449039E+00 0.18037085E+04
 0.23922741E+00 0.17492129E+04
 0.24406013E+00 0.16907279E+04
 0.24899045E+00 0.16276796E+04
 0.25402039E+00 0.15611727E+04
 0.25915194E+00 0.14935990E+04
 0.26438716E+00 0.14278977E+04
 0.26972812E+00 0.13667013E+04
 0.27517700E+00 0.13116179E+04
 0.28073606E+00 0.12628475E+04
 0.28640729E+00 0.12192247E+04
 0.29219311E+00 0.11786598E+04
 0.29809579E+00 0.11388535E+04
 0.30411756E+00 0.10980568E+04
 0.31026131E+00 0.10556185E+04
 0.31652883E+00 0.10121002E+04
 0.32292327E+00 0.96893024E+03
 0.32944661E+00 0.92774170E+03
 0.33610201E+00 0.88968573E+03
 0.34289157E+00 0.85500977E+03
 0.34981859E+00 0.82304816E+03
 0.35688522E+00 0.79260693E+03
 0.36409497E+00 0.76254785E+03
 0.37145033E+00 0.73229785E+03
 0.37895393E+00 0.70203345E+03
 0.38660949E+00 0.67245465E+03
 0.39441931E+00 0.64433148E+03
 0.40238729E+00 0.61806091E+03
 0.41051584E+00 0.59349304E+03
 0.41880903E+00 0.57009082E+03
 0.42726934E+00 0.54729376E+03
 0.43590093E+00 0.52484521E+03
 0.44470647E+00 0.50287637E+03
 0.45369038E+00 0.48172565E+03
 0.46285531E+00 0.46165164E+03
 0.47220579E+00 0.44265057E+03
 0.48174477E+00 0.42449652E+03
 0.49147689E+00 0.40693765E+03
 0.50140512E+00 0.38987378E+03
 0.51153439E+00 0.37337918E+03
 0.52186781E+00 0.35758102E+03
 0.53241050E+00 0.34251993E+03
 0.54316562E+00 0.32811826E+03
 0.55413854E+00 0.31426810E+03
 0.56533259E+00 0.30088858E+03
 0.57675338E+00 0.28802200E+03
 0.58840430E+00 0.27571011E+03
 0.60029107E+00 0.26391589E+03
 0.61241806E+00 0.25259979E+03
 0.62478942E+00 0.24173206E+03
 0.63741124E+00 0.23129457E+03
 0.65028751E+00 0.22128725E+03
 0.66342449E+00 0.21170155E+03
 0.67682624E+00 0.20251062E+03
 0.69049937E+00 0.19369290E+03
 0.70444804E+00 0.18523901E+03
 0.71867913E+00 0.17713828E+03
 0.73319703E+00 0.16937505E+03
 0.74800897E+00 0.16193486E+03
 0.76311934E+00 0.15480588E+03
 0.77853578E+00 0.14797643E+03
 0.79426283E+00 0.14143449E+03
 0.81030840E+00 0.13516859E+03
 0.82667732E+00 0.12916798E+03
 0.84337759E+00 0.12342233E+03
 0.86041462E+00 0.11792156E+03
 0.87779653E+00 0.11265588E+03
 0.89552867E+00 0.10761564E+03
 0.91362000E+00 0.10279160E+03
 0.93207598E+00 0.98174942E+02
 0.95090556E+00 0.93757172E+02
 0.97011465E+00 0.89530060E+02
 0.98971266E+00 0.85485794E+02
 0.10097067E+01 0.81616982E+02
 0.10301036E+01 0.77916519E+02
 0.10509136E+01 0.74377556E+02
 0.10721428E+01 0.70993484E+02
 0.10938021E+01 0.67757912E+02
 0.11158978E+01 0.64664658E+02
 0.11384410E+01 0.61707676E+02
 0.11614385E+01 0.58881145E+02
 0.11849015E+01 0.56179489E+02
 0.12088375E+01 0.53597385E+02
 0.12332582E+01 0.51129776E+02
 0.12581712E+01 0.48771851E+02
 0.12835884E+01 0.46519066E+02
 0.13095180E+01 0.44367050E+02
 0.13359727E+01 0.42311565E+02
 0.13629605E+01 0.40348419E+02
 0.13904947E+01 0.38473366E+02
 0.14185839E+01 0.36682484E+02
 0.14472418E+01 0.34972370E+02
 0.14764773E+01 0.33339668E+02
 0.15063047E+01 0.31780962E+02
 0.15367334E+01 0.30292984E+02
 0.15677782E+01 0.28872648E+02
 0.15994486E+01 0.27516985E+02
 0.16317604E+01 0.26223122E+02
 0.16647232E+01 0.24988329E+02
 0.16983536E+01 0.23810043E+02
 0.17326634E+01 0.22685801E+02
 0.17676648E+01 0.21613218E+02
 0.18033748E+01 0.20590012E+02
 0.18398044E+01 0.19613979E+02
 0.18769718E+01 0.18683004E+02
 0.19148883E+01 0.17795036E+02
 0.19535724E+01 0.16948149E+02
 0.19930363E+01 0.16140574E+02
 0.20332992E+01 0.15370565E+02
 0.20743735E+01 0.14636349E+02
 0.21162796E+01 0.13936274E+02
 0.21590302E+01 0.13268862E+02
 0.22026465E+01 0.12632674E+02
 0.22471418E+01 0.12026278E+02
 0.22925382E+01 0.11448303E+02
 0.23388493E+01 0.10897464E+02
 0.23860984E+01 0.10372528E+02
 0.24342995E+01 0.98723202E+01
 0.24834766E+01 0.93957033E+01
 0.25336452E+01 0.89415655E+01
 0.25848293E+01 0.85088644E+01
 0.26370451E+01 0.80966473E+01
 0.26903181E+01 0.77039886E+01
 0.27446647E+01 0.73299737E+01
 0.28001118E+01 0.69737282E+01
 0.28566792E+01 0.66344256E+01
 0.29143865E+01 0.63112817E+01
 0.29732623E+01 0.60035596E+01
 0.30333247E+01 0.57105494E+01
